sector,fiscal_year,aliens_special_interest_county,ammunition_rounds,apprehensions,cocaine_pounds,cocaine_seizures,conveyances,currency_in_dollars,ecstasy_pounds,ecstasy_seizures,firearms,heroin_ounces,heroin_seizures,marijuana_pounds,marijuana_seizures,methamphetamine_pounds,methamphetamine_seizures,other_drugs_pounds,other_drugs_seizures,other_than_mexican_apprehensions
coastal border,2018,NA,274,3247,1701,58,79,131976,0,1,17,4,3,731,99,3,8,26,22,2297
northern border,2018,NA,344,4316,10,48,119,378302,0,8,73,54,31,1465,437,9,42,33,82,2071
southwest border,2018,NA,18302,396579,4838,453,8391,6665864,1,55,314,11302,204,458834,7505,10273,897,891,769,244322
nationwide total,2018,NA,18920,404142,6550,559,8589,7176142,2,64,404,11314,238,461030,8041,10328,947,951,873,248690
coastal border,2017,NA,217,3588,3169,33,86,325129,0,1,9,0,0,2277,113,23,2,0,6,2561
northern border,2017,NA,384,3027,3,46,79,374282,0,2,45,62,29,1066,255,32,68,14,99,1538
southwest border,2017,NA,13938,303916,6174,463,7388,5169593,1,48,369,15182,219,857888,9371,10273,809,554,735,175978
nationwide total,2017,NA,14539,310531,9346,542,7553,5869004,1,51,423,15244,248,861231,9739,10328,879,568,840,180077
coastal border,2016,NA,127,4663,1288,31,84,72351,0,1,10,87,1,1232,90,0,4,0,1,3623
northern border,2016,NA,669,2283,2,18,102,199797,7,1,50,14,22,714,214,8,38,190,46,1114
southwest border,2016,NA,15323,408870,4183,431,8256,7652390,8,51,346,8961,165,1292105,11526,8215,811,843,876,218110
nationwide total,2016,NA,16119,415816,5473,480,8442,7924537,15,53,406,9062,188,1294052,11830,8224,853,1034,923,222847
coastal border,2015,NA,25,668,6884,18,115,2626,3,5,8,0,0,1154,39,3,1,10,4,2490
northern border,2015,NA,1388,1437,42,33,80,337507,147,12,51,46,37,654,158,11,39,5,48,1189
southwest border,2015,NA,12819,186017,4294,421,7832,4401155,7,50,316,8237,142,1536499,12338,6429,704,86,730,145316
nationwide total,2015,NA,14232,188122,11220,472,8027,4741288,158,67,375,8282,179,1538307,12535,6443,744,101,782,148995
coastal border,2014,NA,19,3942,20,8,95,33045,19,12,9,0,0,1232,24,0,3,76,19,3200
northern border,2014,NA,189,3338,92,35,73,606700,0,1,33,486,37,902,181,159,27,6,65,1673
southwest border,2014,NA,63493,479371,4443,360,8687,7351640,1,62,475,9205,145,1920411,13406,3771,724,227,843,252600
nationwide total,2014,NA,63701,486651,4554,403,8855,7991385,20,75,517,9691,182,1922545,13611,3930,754,310,927,257473
coastal border,2013,NA,290,3162,709,29,68,308361,0,3,19,259,1,1262,63,2,11,8,9,2509
northern border,2013,NA,280,3230,78,34,78,944377,159,7,39,16,20,442,205,132,15,28,65,1558
southwest border,2013,NA,29796,414397,3910,351,9074,4750598,4,46,524,8937,171,2428419,15088,3446,637,484,876,148988
nationwide total,2013,NA,30366,420789,4696,414,9220,6003336,163,56,582,9212,192,2430123,15356,3580,663,520,950,153055
coastal border,2012,NA,665,3685,5962,24,83,280002,0,2,28,441,6,661,40,10,1,157,18,2577
northern border,2012,NA,2210,4210,206,43,137,1759626,199,10,66,49,23,1542,331,274,19,38,96,1904
southwest border,2012,NA,124837,356873,5992,457,9452,5535732,101,67,577,6383,124,2297662,14025,3430,562,415,842,94532
nationwide total,2012,NA,127712,364768,12161,524,9672,7575360,300,79,671,6873,153,2299864,14396,3715,582,610,956,99013
coastal border,2011,60,122,6552,989,19,71,41742,0,0,3,158,2,2001,133,5,5,9,21,4123
northern border,2011,164,4182,6123,212,50,158,4900525,779,16,93,45,21,9472,504,2,21,32,125,2978
southwest border,2011,255,41156,327577,8763,500,10297,9849274,2,81,523,6191,85,2518211,15252,1838,437,255,801,46997
nationwide total,2011,479,45460,340252,9963,569,10526,14791541,781,97,619,6394,108,2529685,15889,1846,463,295,947,54098
